remark,CSV-Import-Export,,,,,
remark,Date = Wed Aug 29 16:24:13 2019,,,,,
remark,Version = RSLogix 5000 v18.02,,,,,
remark,Owner = mkinney,,,,,
remark,Company = keyence,,,,,
0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,IV3:C,,AB:ETHERNET_MODULE:C:0,,
TAG,,IV3:I,,AB:ETHERNET_MODULE_INT_392Bytes:I:0,,
COMMENT,,IV3:I,Trigger response,,IV3:I.DATA[0].0,
COMMENT,,IV3:I,Master image regestration response,,IV3:I.DATA[0].1,
COMMENT,,IV3:I,Program switching response,,IV3:I.DATA[0].2,
COMMENT,,IV3:I,Warning clear response,,IV3:I.DATA[0].3,
COMMENT,,IV3:I,Statistics reset response,,IV3:I.DATA[0].4,
COMMENT,,IV3:I,Buffer clear response,,IV3:I.DATA[0].5,
COMMENT,,IV3:I,SD card saving stop response,,IV3:I.DATA[0].6,
COMMENT,,IV3:I,Setting value change response,,IV3:I.DATA[0].7,
COMMENT,,IV3:I,Trigger failed,,IV3:I.DATA[0].8,
COMMENT,,IV3:I,Master image regestration failed,,IV3:I.DATA[0].9,
COMMENT,,IV3:I,Program switching failed,,IV3:I.DATA[0].10,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[0].11,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[0].12,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[0].13,
COMMENT,,IV3:I,SD card saving stop failed,,IV3:I.DATA[0].14,
COMMENT,,IV3:I,Setting value change failed,,IV3:I.DATA[0].15,
COMMENT,,IV3:I,Result available,,IV3:I.DATA[1].0,
COMMENT,,IV3:I,Result update complete,,IV3:I.DATA[1].1,
COMMENT,,IV3:I,Busy,,IV3:I.DATA[1].2,
COMMENT,,IV3:I,Imaging,,IV3:I.DATA[1].3,
COMMENT,,IV3:I,RUN,,IV3:I.DATA[1].4,
COMMENT,,IV3:I,Ready,,IV3:I.DATA[1].5,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[1].6,
COMMENT,,IV3:I,SD card identification status,,IV3:I.DATA[1].7,
COMMENT,,IV3:I,Sorting mode information,,IV3:I.DATA[1].8,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[1].9,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[1].10,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[1].11,
COMMENT,,IV3:I,Insufficient free space on SD card,,IV3:I.DATA[1].12,
COMMENT,,IV3:I,Buffer overrun status,,IV3:I.DATA[1].13,
COMMENT,,IV3:I,Warning status,,IV3:I.DATA[1].14,
COMMENT,,IV3:I,Error status,,IV3:I.DATA[1].15,
COMMENT,,IV3:I,Overall judgment OK,,IV3:I.DATA[2].0,
COMMENT,,IV3:I,Position correction,,IV3:I.DATA[2].1,
COMMENT,,IV3:I,Logic 1,,IV3:I.DATA[2].2,
COMMENT,,IV3:I,Logic 2,,IV3:I.DATA[2].3,
COMMENT,,IV3:I,Logic 3,,IV3:I.DATA[2].4,
COMMENT,,IV3:I,Logic 4,,IV3:I.DATA[2].5,
COMMENT,,IV3:I,Overall judgment NG,,IV3:I.DATA[2].6,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].7,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].8,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].9,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].10,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].11,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].12,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].13,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].14,
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[2].15,
COMMENT,,IV3:I,Tool 1,,IV3:I.DATA[3].0,
COMMENT,,IV3:I,Tool 2,,IV3:I.DATA[3].1,
COMMENT,,IV3:I,Tool 3,,IV3:I.DATA[3].2,
